Student_ID,University_Rating,School_Size,Region,Major_Category,GPA,Prior_Internships,Extra_Curricular_Activities,Networking_Events_Attended,Primary_Search_Platform,Months_Searching,Applications_Submitted,First_Round_Interviews,Second_Round_Interviews,Offer_Received,Time_to_Offer_Days,Offer_Salary,Company_Size_Offered,Role_Relevance,Accepted_Offer
STU_000051,Lower-tier,Small,South,Healthcare,3.54,1,1,1,Handshake,9,66,9,1,0,,,,,
STU_000052,Lower-tier,Medium,South,Healthcare,3.67,0,1,4,Indeed,10,91,0,0,0,,,,,
STU_000053,Lower-tier,Small,South,Business,2.67,0,3,2,LinkedIn,7,5,0,0,0,,,,,
STU_000054,Lower-tier,Large,Midwest,Business,2.58,0,0,3,Indeed,7,29,0,0,0,,,,,
STU_000055,Mid-tier,Large,Midwest,Business,3.71,2,2,3,LinkedIn,3,5,2,2,1,75.0,94073.0,Mid-Size,7.0,0.0
STU_000056,Lower-tier,Large,Northeast,Arts,2.34,0,1,2,LinkedIn,9,78,4,1,0,,,,,
STU_000057,Top-tier,Large,Midwest,Humanities,3.4,1,2,4,Handshake,10,53,5,1,0,,,,,
STU_000058,Mid-tier,Large,South,STEM,2.4,3,2,6,LinkedIn,1,7,1,0,0,,,,,
STU_000059,Top-tier,Small,Midwest,Business,3.69,3,0,3,LinkedIn,10,5,2,1,1,80.0,105504.0,Mid-Size,8.0,1.0
STU_000060,Mid-tier,Small,Midwest,STEM,3.5,3,2,3,Handshake,11,29,2,1,1,48.0,78762.0,Startup,9.0,1.0
STU_000061,Mid-tier,Large,West,Business,2.82,2,2,2,Handshake,3,16,2,1,1,20.0,72312.0,Mid-Size,8.0,1.0
STU_000062,Mid-tier,Medium,West,Business,3.74,0,2,2,LinkedIn,1,8,2,1,1,56.0,76674.0,Enterprise,9.0,1.0
STU_000063,Lower-tier,Small,West,Business,3.53,2,5,2,Handshake,4,15,1,0,0,,,,,
STU_000064,Mid-tier,Small,Northeast,STEM,3.31,0,3,4,Handshake,2,6,0,0,0,,,,,
STU_000065,Mid-tier,Large,South,STEM,3.1,3,1,3,LinkedIn,5,24,2,2,1,80.0,92885.0,Enterprise,10.0,1.0
STU_000066,Mid-tier,Medium,West,Healthcare,3.22,0,3,1,Handshake,12,28,2,2,1,29.0,53342.0,Startup,9.0,0.0
STU_000067,Top-tier,Medium,West,Healthcare,2.97,1,1,2,LinkedIn,5,48,2,1,0,,,,,
STU_000068,Lower-tier,Large,Midwest,STEM,3.16,4,2,2,LinkedIn,1,6,0,0,0,,,,,
STU_000069,Top-tier,Large,West,STEM,3.2,3,2,1,LinkedIn,10,96,2,1,1,60.0,116960.0,Enterprise,10.0,1.0
STU_000070,Lower-tier,Small,Northeast,STEM,2.72,4,3,3,Handshake,5,11,2,2,1,25.0,76451.0,Enterprise,10.0,1.0
STU_000071,Lower-tier,Medium,Midwest,Humanities,2.95,2,0,1,Handshake,8,49,3,3,1,58.0,55739.0,Mid-Size,5.0,1.0
STU_000072,Mid-tier,Large,Northeast,Arts,2.9,2,3,4,Handshake,12,44,2,2,1,44.0,72769.0,Startup,6.0,1.0
STU_000073,Top-tier,Small,West,Business,2.82,1,1,2,LinkedIn,2,12,2,1,1,45.0,95286.0,Enterprise,3.0,1.0
STU_000074,Lower-tier,Small,Northeast,Business,4.0,0,0,4,LinkedIn,1,9,0,0,0,,,,,
STU_000075,Lower-tier,Small,Midwest,Business,3.2,1,3,5,LinkedIn,9,150,6,3,0,,,,,
STU_000076,Lower-tier,Medium,Midwest,Business,3.08,2,4,3,Handshake,2,7,1,0,0,,,,,
STU_000077,Lower-tier,Medium,Northeast,Business,3.75,1,1,3,Indeed,1,13,2,2,1,34.0,69711.0,Enterprise,4.0,1.0
STU_000078,Top-tier,Large,West,Healthcare,2.24,1,2,3,Indeed,3,39,0,0,0,,,,,
STU_000079,Mid-tier,Medium,Midwest,Arts,3.62,1,1,2,LinkedIn,4,15,0,0,0,,,,,
STU_000080,Top-tier,Medium,Midwest,STEM,3.27,0,8,1,Handshake,5,57,5,2,0,,,,,
STU_000081,Lower-tier,Medium,Northeast,Business,3.08,1,1,2,Indeed,9,106,1,1,0,,,,,
STU_000082,Mid-tier,Large,South,Business,3.37,2,2,1,LinkedIn,9,49,2,1,0,,,,,
STU_000083,Mid-tier,Medium,Northeast,STEM,4.0,0,2,5,Indeed,8,49,0,0,0,,,,,
STU_000084,Top-tier,Small,Midwest,STEM,3.26,2,4,2,LinkedIn,9,76,4,3,1,42.0,112441.0,Enterprise,6.0,1.0
STU_000085,Mid-tier,Medium,West,Healthcare,3.49,1,0,2,Indeed,4,60,0,0,0,,,,,
STU_000086,Mid-tier,Large,Northeast,Business,3.48,2,4,2,Indeed,7,119,0,0,0,,,,,
STU_000087,Lower-tier,Large,West,STEM,3.23,1,1,1,Handshake,11,62,4,1,0,,,,,
STU_000088,Mid-tier,Large,Midwest,Business,3.37,2,3,2,LinkedIn,11,38,2,1,1,67.0,108938.0,Enterprise,9.0,1.0
STU_000089,Lower-tier,Large,South,Business,3.34,1,1,5,Handshake,5,16,3,2,0,,,,,
STU_000090,Mid-tier,Medium,South,Healthcare,3.29,0,3,6,Handshake,8,20,1,0,0,,,,,
STU_000091,Top-tier,Small,Midwest,Business,2.79,1,2,3,LinkedIn,3,24,1,1,0,,,,,
STU_000092,Lower-tier,Large,Northeast,Humanities,2.85,0,1,7,Handshake,2,10,2,1,1,55.0,51532.0,Enterprise,7.0,1.0
STU_000093,Lower-tier,Medium,Northeast,STEM,3.05,0,0,4,Handshake,2,11,2,0,0,,,,,
STU_000094,Mid-tier,Small,Northeast,Healthcare,2.76,0,2,4,Handshake,5,20,1,0,0,,,,,
STU_000095,Lower-tier,Medium,Northeast,Arts,3.0,1,2,3,Handshake,6,41,3,0,0,,,,,
STU_000096,Mid-tier,Medium,Midwest,Business,3.03,1,1,3,Handshake,9,9,2,2,1,20.0,74852.0,Mid-Size,7.0,1.0
STU_000097,Mid-tier,Medium,West,STEM,3.07,1,0,1,Indeed,10,125,2,1,0,,,,,
STU_000098,Mid-tier,Large,South,STEM,3.2,1,1,4,Handshake,10,63,7,2,0,,,,,
STU_000099,Top-tier,Medium,West,Business,3.64,2,2,2,LinkedIn,6,31,2,2,1,52.0,103330.0,Enterprise,6.0,1.0
STU_000100,Top-tier,Small,West,Humanities,3.22,1,1,2,Indeed,1,15,2,1,1,30.0,67665.0,Startup,4.0,0.0
STU_000101,Top-tier,Large,Northeast,Business,2.55,2,6,2,Indeed,1,11,1,0,0,,,,,
STU_000102,Mid-tier,Small,Midwest,Business,3.38,0,5,5,Handshake,11,66,4,1,1,57.0,57592.0,Mid-Size,8.0,1.0
STU_000103,Mid-tier,Large,South,STEM,3.32,1,2,1,Handshake,1,6,2,1,1,40.0,82515.0,Mid-Size,9.0,1.0
STU_000104,Mid-tier,Medium,South,STEM,2.86,5,2,5,LinkedIn,4,16,2,1,1,85.0,93780.0,Startup,5.0,1.0
STU_000105,Lower-tier,Large,Midwest,Healthcare,3.49,0,0,0,Indeed,3,29,2,2,1,40.0,36208.0,Startup,5.0,1.0
STU_000106,Mid-tier,Large,Northeast,STEM,3.61,2,3,3,Indeed,11,209,3,1,0,,,,,
STU_000107,Mid-tier,Small,West,Humanities,3.26,1,3,5,Handshake,3,11,0,0,0,,,,,
STU_000108,Lower-tier,Small,West,Healthcare,3.23,1,1,1,Handshake,12,34,2,1,0,,,,,
STU_000109,Mid-tier,Large,Northeast,Business,4.0,2,1,3,LinkedIn,1,5,0,0,0,,,,,
STU_000110,Top-tier,Large,Midwest,STEM,2.48,0,0,4,Handshake,10,50,6,4,0,,,,,
STU_000111,Mid-tier,Small,Northeast,Humanities,3.05,0,0,2,Handshake,7,46,2,2,1,54.0,66117.0,Mid-Size,7.0,1.0
STU_000112,Mid-tier,Small,West,STEM,2.74,0,2,2,Handshake,8,21,2,0,0,,,,,
STU_000113,Lower-tier,Medium,South,STEM,3.96,1,0,7,LinkedIn,1,11,0,0,0,,,,,
STU_000114,Lower-tier,Large,Northeast,Business,2.68,2,2,5,Handshake,3,16,2,1,1,35.0,72730.0,Enterprise,9.0,0.0
STU_000115,Mid-tier,Small,South,Humanities,3.61,0,2,2,LinkedIn,2,32,2,1,0,,,,,
STU_000116,Lower-tier,Large,South,Business,3.58,0,3,5,Indeed,2,25,2,1,1,17.0,63264.0,Startup,4.0,1.0
STU_000117,Lower-tier,Small,Northeast,Business,2.41,0,3,4,LinkedIn,1,6,2,0,0,,,,,
STU_000118,Mid-tier,Medium,Northeast,Business,2.95,2,3,1,LinkedIn,1,5,2,2,1,87.0,72857.0,Enterprise,7.0,1.0
STU_000119,Lower-tier,Large,South,Healthcare,3.69,1,2,4,LinkedIn,3,15,2,2,1,72.0,73243.0,Mid-Size,9.0,0.0
STU_000120,Mid-tier,Small,Northeast,Business,3.08,0,6,4,LinkedIn,1,7,0,0,0,,,,,
STU_000121,Lower-tier,Medium,Midwest,STEM,2.8,2,2,3,Handshake,6,31,1,1,0,,,,,
STU_000122,Lower-tier,Large,West,STEM,2.95,2,2,2,Indeed,12,192,8,6,1,32.0,82063.0,Startup,4.0,0.0
STU_000123,Mid-tier,Small,Northeast,Healthcare,3.16,0,6,6,LinkedIn,9,54,3,1,0,,,,,
STU_000124,Top-tier,Large,South,Business,3.17,1,0,3,Indeed,12,72,3,2,1,21.0,77168.0,Mid-Size,6.0,0.0
STU_000125,Mid-tier,Large,West,STEM,3.34,0,2,4,Indeed,6,81,5,1,1,26.0,77726.0,Startup,2.0,1.0
STU_000126,Mid-tier,Medium,Northeast,STEM,2.0,0,2,2,Handshake,12,5,2,1,1,33.0,65809.0,Startup,7.0,1.0
STU_000127,Lower-tier,Medium,Midwest,Business,3.24,3,0,3,Handshake,5,25,2,2,1,57.0,84446.0,Mid-Size,7.0,1.0
STU_000128,Lower-tier,Medium,Midwest,Arts,3.35,0,0,4,Handshake,11,75,2,1,1,26.0,49503.0,Mid-Size,10.0,1.0
STU_000129,Top-tier,Large,West,Business,3.47,1,3,3,LinkedIn,11,99,2,1,0,,,,,
STU_000130,Mid-tier,Large,Midwest,STEM,3.44,2,3,5,LinkedIn,11,97,3,0,0,,,,,
STU_000131,Mid-tier,Large,Midwest,Business,3.13,0,2,3,LinkedIn,6,32,1,0,0,,,,,
STU_000132,Mid-tier,Large,Midwest,Business,2.43,1,1,3,LinkedIn,10,108,7,1,0,,,,,
STU_000133,Top-tier,Medium,Northeast,Humanities,3.52,1,2,2,LinkedIn,6,40,2,1,0,,,,,
STU_000134,Mid-tier,Medium,Midwest,Arts,3.37,2,1,3,Indeed,11,126,1,0,0,,,,,
STU_000135,Lower-tier,Large,South,Humanities,2.89,1,1,7,Indeed,11,141,7,1,1,24.0,43714.0,Enterprise,8.0,1.0
STU_000136,Mid-tier,Large,Northeast,Humanities,2.63,1,2,4,LinkedIn,9,79,4,1,0,,,,,
STU_000137,Mid-tier,Medium,Northeast,Healthcare,2.52,0,2,2,Handshake,5,26,0,0,0,,,,,
STU_000138,Lower-tier,Large,Midwest,STEM,3.26,2,2,2,Handshake,9,66,6,1,0,,,,,
STU_000139,Mid-tier,Large,Midwest,STEM,2.35,0,2,3,LinkedIn,9,100,2,1,0,,,,,
STU_000140,Lower-tier,Large,Northeast,Humanities,3.0,0,0,0,Handshake,8,21,4,0,0,,,,,
STU_000141,Lower-tier,Medium,Midwest,Business,3.97,0,2,6,LinkedIn,5,47,2,0,0,,,,,
STU_000142,Mid-tier,Medium,West,Healthcare,3.04,1,3,5,LinkedIn,12,32,1,0,0,,,,,
STU_000143,Mid-tier,Large,South,STEM,3.15,2,1,0,Handshake,9,78,3,0,0,,,,,
STU_000144,Mid-tier,Medium,West,STEM,2.8,0,1,3,Handshake,1,6,1,1,0,,,,,
STU_000145,Mid-tier,Large,Northeast,Arts,2.44,0,2,4,Indeed,8,134,2,0,0,,,,,
STU_000146,Top-tier,Large,South,Humanities,3.04,1,2,2,LinkedIn,2,13,0,0,0,,,,,
STU_000147,Mid-tier,Medium,South,Business,2.68,2,1,2,Indeed,12,188,3,0,0,,,,,
STU_000148,Mid-tier,Large,Midwest,Business,3.41,1,1,2,LinkedIn,12,88,3,2,1,44.0,85462.0,Mid-Size,5.0,0.0
STU_000149,Top-tier,Small,South,STEM,3.19,2,3,6,LinkedIn,2,10,0,0,0,,,,,
STU_000150,Mid-tier,Large,Northeast,Arts,3.18,0,4,1,LinkedIn,2,18,1,0,0,,,,,
STU_000151,Lower-tier,Medium,Midwest,Business,3.8,0,5,1,Indeed,2,21,1,1,0,,,,,
STU_000152,Mid-tier,Large,Northeast,STEM,3.36,1,1,6,LinkedIn,9,73,6,2,0,,,,,
STU_000153,Top-tier,Small,South,Business,3.53,2,1,0,Indeed,3,49,3,1,1,23.0,83791.0,Enterprise,6.0,0.0
STU_000154,Mid-tier,Medium,South,Arts,2.85,3,4,3,Handshake,5,29,2,2,1,59.0,70477.0,Mid-Size,7.0,0.0
STU_000155,Lower-tier,Medium,Midwest,STEM,3.46,0,1,3,Handshake,9,54,5,2,0,,,,,
STU_000156,Mid-tier,Medium,South,STEM,3.36,2,1,5,LinkedIn,5,35,2,2,1,57.0,101750.0,Enterprise,9.0,0.0
STU_000157,Lower-tier,Large,West,STEM,4.0,0,6,3,Handshake,2,13,2,2,1,52.0,82635.0,Enterprise,9.0,1.0
STU_000158,Lower-tier,Large,Midwest,STEM,3.77,0,1,3,Indeed,12,104,0,0,0,,,,,
STU_000159,Mid-tier,Large,South,Humanities,2.92,0,2,6,Handshake,10,5,2,1,1,53.0,61422.0,Startup,8.0,1.0
STU_000160,Lower-tier,Large,West,Humanities,2.74,2,0,2,Handshake,7,49,4,1,0,,,,,
STU_000161,Mid-tier,Large,South,Business,2.51,1,2,2,Handshake,9,46,2,0,0,,,,,
STU_000162,Mid-tier,Medium,Northeast,STEM,3.44,0,0,4,Handshake,8,46,2,0,0,,,,,
STU_000163,Mid-tier,Medium,South,STEM,3.53,1,2,4,LinkedIn,10,68,3,1,0,,,,,
STU_000164,Mid-tier,Small,South,Healthcare,3.06,4,0,1,Handshake,11,84,5,0,0,,,,,
STU_000165,Top-tier,Medium,South,Arts,2.7,4,3,1,Handshake,9,24,2,1,0,,,,,
STU_000166,Lower-tier,Medium,Midwest,STEM,3.1,2,4,1,Handshake,4,14,2,2,1,42.0,97365.0,Enterprise,7.0,1.0
STU_000167,Mid-tier,Medium,Midwest,Business,2.88,1,3,5,Indeed,11,161,8,5,1,36.0,56669.0,Startup,6.0,1.0
STU_000168,Mid-tier,Small,West,STEM,2.86,0,2,5,Handshake,8,33,3,0,0,,,,,
STU_000169,Top-tier,Large,South,Business,2.89,2,3,3,Handshake,3,10,0,0,0,,,,,
STU_000170,Mid-tier,Large,Midwest,STEM,3.33,2,1,4,Handshake,9,42,4,2,0,,,,,
STU_000171,Lower-tier,Medium,Midwest,STEM,3.72,0,1,6,LinkedIn,4,43,0,0,0,,,,,
STU_000172,Top-tier,Large,South,Humanities,3.38,1,3,1,LinkedIn,6,73,2,1,1,81.0,74362.0,Enterprise,5.0,1.0
STU_000173,Mid-tier,Small,West,Healthcare,2.99,2,2,5,LinkedIn,6,7,0,0,0,,,,,
STU_000174,Mid-tier,Large,Northeast,STEM,2.63,0,3,1,LinkedIn,3,26,0,0,0,,,,,
STU_000175,Mid-tier,Small,Northeast,Humanities,3.67,1,5,4,Indeed,8,105,4,3,1,17.0,58432.0,Enterprise,5.0,1.0
STU_000176,Mid-tier,Medium,South,STEM,3.29,0,2,2,LinkedIn,12,46,3,1,0,,,,,
STU_000177,Lower-tier,Medium,Midwest,STEM,3.58,1,1,2,LinkedIn,2,23,2,0,0,,,,,
STU_000178,Mid-tier,Small,Northeast,Humanities,3.15,4,1,4,LinkedIn,7,73,4,4,1,84.0,75123.0,Enterprise,6.0,1.0
STU_000179,Lower-tier,Small,West,STEM,3.82,3,1,3,Handshake,2,12,2,1,1,38.0,90979.0,Mid-Size,10.0,1.0
STU_000180,Top-tier,Large,South,STEM,3.78,0,1,1,LinkedIn,10,95,4,4,1,40.0,92866.0,Mid-Size,8.0,1.0
STU_000181,Mid-tier,Small,South,STEM,3.4,0,1,3,Handshake,1,7,2,2,1,37.0,69669.0,Mid-Size,9.0,0.0
STU_000182,Top-tier,Large,Northeast,STEM,2.39,4,3,4,Indeed,3,58,0,0,0,,,,,
STU_000183,Lower-tier,Large,Midwest,Business,3.82,0,1,1,LinkedIn,8,73,2,0,0,,,,,
STU_000184,Lower-tier,Medium,South,Healthcare,3.43,1,4,4,Handshake,5,22,2,1,1,40.0,62590.0,Enterprise,8.0,1.0
STU_000185,Mid-tier,Large,Northeast,Healthcare,2.58,1,1,3,Indeed,9,118,6,6,1,19.0,35000.0,Enterprise,6.0,1.0
STU_000186,Lower-tier,Large,West,Healthcare,3.75,2,2,3,LinkedIn,5,25,2,2,1,76.0,59197.0,Mid-Size,5.0,1.0
STU_000187,Lower-tier,Medium,Midwest,STEM,2.82,0,0,3,Handshake,3,6,2,2,1,27.0,78230.0,Startup,9.0,1.0
STU_000188,Mid-tier,Large,South,Arts,3.23,0,3,3,Indeed,2,32,0,0,0,,,,,
STU_000189,Mid-tier,Large,South,Humanities,3.15,2,3,3,Indeed,9,168,0,0,0,,,,,
STU_000190,Mid-tier,Large,West,Business,2.85,4,1,2,LinkedIn,4,42,3,3,1,71.0,74241.0,Mid-Size,2.0,1.0
STU_000191,Top-tier,Large,South,Business,2.42,2,1,2,Handshake,7,32,2,1,1,32.0,82342.0,Enterprise,9.0,1.0
STU_000192,Lower-tier,Large,Midwest,Healthcare,4.0,0,1,5,LinkedIn,4,33,1,0,0,,,,,
STU_000193,Lower-tier,Large,Midwest,Healthcare,3.71,2,2,5,LinkedIn,10,43,1,1,0,,,,,
STU_000194,Mid-tier,Medium,South,Healthcare,3.37,1,1,0,Handshake,3,19,2,2,1,56.0,46312.0,Mid-Size,10.0,1.0
STU_000195,Mid-tier,Medium,Northeast,Healthcare,3.44,1,2,4,Handshake,4,11,0,0,0,,,,,
STU_000196,Mid-tier,Large,Northeast,Business,3.06,0,3,1,LinkedIn,10,111,3,1,1,81.0,86929.0,Enterprise,6.0,1.0
STU_000197,Lower-tier,Large,South,Healthcare,3.88,1,2,1,Indeed,3,26,0,0,0,,,,,
STU_000198,Lower-tier,Small,Northeast,Business,3.74,0,6,7,Handshake,8,37,2,1,1,24.0,75122.0,Mid-Size,10.0,1.0
STU_000199,Lower-tier,Large,Northeast,Business,3.03,0,3,3,LinkedIn,4,51,2,0,0,,,,,
STU_000200,Lower-tier,Large,Midwest,Humanities,3.1,1,2,7,Indeed,5,65,0,0,0,,,,,
STU_000201,Mid-tier,Small,South,Healthcare,2.93,1,3,4,LinkedIn,7,53,0,0,0,,,,,
STU_000202,Top-tier,Large,Midwest,STEM,3.77,1,0,2,Handshake,4,25,2,1,1,31.0,81731.0,Enterprise,7.0,1.0
STU_000203,Mid-tier,Large,Northeast,STEM,3.55,1,1,2,Indeed,7,116,2,0,0,,,,,
STU_000204,Lower-tier,Large,Northeast,Humanities,2.9,1,3,2,LinkedIn,10,123,7,4,0,,,,,
STU_000205,Mid-tier,Small,South,STEM,2.62,1,2,2,Handshake,12,44,1,0,0,,,,,
STU_000206,Top-tier,Large,Northeast,Business,3.82,1,2,3,Handshake,3,10,2,2,1,38.0,81458.0,Startup,10.0,1.0
STU_000207,Top-tier,Small,Northeast,Humanities,3.16,1,1,3,LinkedIn,8,100,6,2,0,,,,,
STU_000208,Lower-tier,Small,Northeast,Healthcare,3.79,0,2,3,LinkedIn,8,80,5,1,0,,,,,
STU_000209,Top-tier,Medium,Northeast,STEM,2.91,1,2,2,Indeed,7,95,2,1,0,,,,,
STU_000210,Mid-tier,Medium,Northeast,Humanities,2.81,0,2,1,Handshake,6,29,1,1,0,,,,,
STU_000211,Mid-tier,Large,Northeast,STEM,3.1,2,0,4,LinkedIn,3,26,2,0,0,,,,,
STU_000212,Lower-tier,Medium,South,STEM,3.17,1,1,3,LinkedIn,7,50,4,3,0,,,,,
STU_000213,Lower-tier,Medium,South,Business,3.36,2,4,4,LinkedIn,9,42,2,0,0,,,,,
STU_000214,Mid-tier,Small,Northeast,Healthcare,3.07,0,2,5,LinkedIn,6,5,1,0,0,,,,,
STU_000215,Lower-tier,Medium,West,STEM,3.12,2,2,3,Handshake,6,22,2,0,0,,,,,
STU_000216,Mid-tier,Large,South,Healthcare,2.92,0,1,3,Handshake,2,11,1,0,0,,,,,
STU_000217,Mid-tier,Large,Midwest,Business,3.67,1,1,5,LinkedIn,2,15,2,1,1,76.0,73324.0,Mid-Size,9.0,1.0
STU_000218,Lower-tier,Large,Northeast,STEM,3.53,0,1,3,Handshake,9,70,6,1,0,,,,,
STU_000219,Mid-tier,Medium,Northeast,Humanities,2.93,2,1,2,LinkedIn,6,80,5,1,0,,,,,
STU_000220,Lower-tier,Small,West,STEM,4.0,4,1,1,Handshake,9,36,2,1,1,21.0,89332.0,Mid-Size,8.0,1.0
STU_000221,Lower-tier,Large,Midwest,Humanities,2.67,1,3,2,Indeed,12,300,4,0,0,,,,,
STU_000222,Mid-tier,Large,West,Business,3.64,1,3,3,LinkedIn,11,102,5,3,1,45.0,75070.0,Enterprise,5.0,1.0
